1,3,
1,36,
2,3,
2,5,
3,6,
3,7,
4,6,
4,8,
5,7,
5,9,
6,7,
6,8,
7,8,
7,10,
8,10,
8,11,
9,11,
9,12,
10,11,
10,12,
11,14,
11,15,
12,13,
12,14,
13,15,
13,16,
14,16,
14,18,
15,17,
15,19,
16,18,
16,20,
17,20,
18,20,
18,21,
19,21,
19,22,
20,21,
20,22,
21,23,
21,24,
22,23,
22,25,
23,25,
23,26,
24,25,
24,26,
25,26,
25,29,
26,28,
26,29,
27,28,
27,31,
28,29,
28,31,
29,31,
29,32,
30,33,
30,34,
31,32,
31,34,
32,33,
32,35,
33,34,
33,35,
34,35,
36,38,
36,40,
37,38,
37,39,
38,40,
38,42,
39,41,
39,42,
40,43,
40,44,
41,42,
41,44,
42,44,
42,46,
43,45,
44,46,
44,47,
45,46,
45,49,
46,47,
46,48,
47,49,
48,50,
48,51,
49,50,
49,51,
50,51,
50,53,
51,52,
51,55,
52,53,
52,56,
53,56,
53,57,
54,55,
54,56,
55,59,
56,58,
56,60,
57,58,
57,61,
58,59,
58,60,
59,62,
59,63,
60,62,
60,64,
61,62,
61,64,
62,63,
62,65,
63,64,
63,67,
64,65,
64,67,
65,68,
65,69,
66,67,
66,68,
67,68,
67,69,
68,69,
