1,2,
1,52,
2,4,
2,5,
3,4,
3,6,
4,7,
4,8,
5,8,
5,9,
6,7,
6,9,
7,8,
7,10,
8,10,
8,11,
9,12,
9,13,
10,12,
10,14,
11,14,
11,15,
12,13,
13,14,
13,15,
14,17,
15,18,
15,19,
16,18,
16,20,
17,18,
17,20,
18,21,
18,22,
19,20,
19,23,
20,21,
20,23,
21,22,
21,24,
22,23,
22,24,
23,25,
23,26,
24,25,
24,27,
25,26,
25,29,
26,27,
26,30,
27,28,
27,31,
28,30,
28,31,
29,30,
29,32,
30,31,
30,33,
31,32,
31,34,
32,35,
32,36,
33,34,
33,35,
34,37,
34,38,
35,37,
35,39,
36,37,
36,39,
37,38,
37,41,
38,39,
38,41,
39,42,
40,41,
40,43,
41,43,
41,45,
42,43,
42,46,
43,46,
44,45,
44,47,
45,47,
45,48,
46,47,
46,49,
47,48,
47,50,
48,49,
48,50,
49,50,
51,52,
51,55,
52,54,
52,56,
53,54,
53,57,
54,55,
54,56,
55,56,
55,58,
56,58,
56,59,
57,58,
57,60,
58,59,
58,60,
59,61,
59,62,
60,61,
60,63,
61,62,
61,63,
62,64,
62,65,
63,64,
63,66,
64,66,
64,67,
65,66,
65,68,
66,68,
66,70,
67,69,
67,71,
68,72,
69,71,
69,72,
70,71,
70,73,
71,73,
71,75,
72,74,
72,75,
73,75,
73,76,
74,77,
74,78,
75,77,
75,78,
76,77,
76,79,
77,78,
77,79,
78,79,
78,82,
79,81,
79,82,
80,81,
80,84,
81,84,
81,85,
82,86,
83,84,
83,86,
84,85,
84,87,
85,87,
85,89,
86,89,
86,90,
87,90,
87,91,
88,90,
89,91,
89,92,
90,92,
90,93,
91,92,
91,95,
92,93,
92,96,
93,94,
93,96,
94,95,
94,96,
95,97,
95,99,
96,97,
96,99,
97,98,
97,99,
